Año,Trimestre,Valor
1991,Total Anual,1968
1992,Total Anual,1925
1993,Total Anual,1226
1994,Total Anual,1525
1995,Total Anual,3095
1996,Total Anual,2993
1997,Total Anual,3488
1998,Total Anual,3563
1999,Total Anual,6917
2000,Total Anual,9483
2001,Total Anual,6791
2002,Total Anual,8110
2003,Total Anual,7133
2004,Total Anual,9364
2005,Total Anual,9857
2006,Total Anual,10088
2007,Total Anual,9038
2008,Total Anual,4083
2009,Total Anual,985
2010,Total Anual,957
2011,Total Anual,1028
2012,Total Anual,638
2013,Total Anual,474
2014,Total Anual,304
2015,Total Anual,620
2016,Total Anual,365
2017,Total Anual,375
2018,Total Anual,936
2019,Total Anual,850
2020,Total Anual,758
2021,Total Anual,1275
2022,Total Anual,908
2023,Total Anual,1569
2024,Total Anual,1330
2025,Total Anual,1505
