Año,Trimestre,Valor
2007,Total Anual,13406
2007,T1,3360
2007,T2,3789
2007,T3,3094
2007,T4,3163
2008,Total Anual,9840
2008,T1,2732
2008,T2,2861
2008,T3,2210
2008,T4,2037
2009,Total Anual,8805
2009,T1,1908
2009,T2,2397
2009,T3,2189
2009,T4,2311
2010,Total Anual,8355
2010,T1,1833
2010,T2,2987
2010,T3,1173
2010,T4,2362
2011,Total Anual,5563
2011,T1,1160
2011,T2,1586
2011,T3,1223
2011,T4,1594
2012,Total Anual,4631
2012,T1,757
2012,T2,1036
2012,T3,1185
2012,T4,1653
2013,Total Anual,3083
2013,T1,475
2013,T2,806
2013,T3,742
2013,T4,1060
2014,Total Anual,3921
2014,T1,840
2014,T2,946
2014,T3,910
2014,T4,1225
2015,Total Anual,4574
2015,T1,907
2015,T2,1196
2015,T3,1205
2015,T4,1266
2016,Total Anual,5172
2016,T1,1037
2016,T2,1394
2016,T3,1220
2016,T4,1521
2017,Total Anual,6518
2017,T1,1284
2017,T2,1669
2017,T3,1496
2017,T4,2069
2018,Total Anual,6971
2018,T1,1377
2018,T2,1898
2018,T3,1752
2018,T4,1944
2019,Total Anual,7130
2019,T1,1604
2019,T2,1872
2019,T3,1639
2019,T4,2015
2020,Total Anual,6836
2020,T1,1503
2020,T2,1067
2020,T3,1981
2020,T4,2285
2021,Total Anual,9559
2021,T1,1774
2021,T2,2449
2021,T3,2665
2021,T4,2671
2022,Total Anual,9241
2022,T1,2170
2022,T2,2684
2022,T3,2150
2022,T4,2237
2023,Total Anual,8404
2023,T1,1868
2023,T2,2283
2023,T3,2025
2023,T4,2228
2024,Total Anual,9929
2024,T1,2188
2024,T2,2710
2024,T3,2324
2024,T4,2707
2025,Total Anual,10116
2025,T1,2664
2025,T2,2632
2025,T3,2281
2025,T4,2539
