Año,Trimestre,Valor
2004,Total Anual,139066.55
2004,T1,115832.4
2004,T2,136611.6
2004,T3,135679.8
2004,T4,168142.4
2005,Total Anual,143877.05
2005,T1,142058.8
2005,T2,137488
2005,T3,147856.6
2005,T4,148104.8
2006,Total Anual,164737.9
2006,T1,154635
2006,T2,166591.2
2006,T3,164008.5
2006,T4,173716.9
2007,Total Anual,177528.25
2007,T1,178226.2
2007,T2,176408.2
2007,T3,171291.1
2007,T4,184187.5
2008,Total Anual,183206.9
2008,T1,183385
2008,T2,182688.4
2008,T3,186315.7
2008,T4,180438.5
2009,Total Anual,179912.9
2009,T1,179537.4
2009,T2,172293.1
2009,T3,186228.4
2009,T4,181592.7
2010,Total Anual,174803.63
2010,T1,172295.2
2010,T2,185221.5
2010,T3,168861
2010,T4,172836.8
2011,Total Anual,166556.95
2011,T1,177727.7
2011,T2,159747.5
2011,T3,162420.6
2011,T4,166332
2012,Total Anual,150567.8
2012,T1,155405
2012,T2,149524.1
2012,T3,153874.3
2012,T4,143467.8
2013,Total Anual,136658.45
2013,T1,125613.7
2013,T2,141130.5
2013,T3,133247.3
2013,T4,146642.3
2014,Total Anual,134080.15
2014,T1,136619.8
2014,T2,129824.9
2014,T3,133534.8
2014,T4,136341.1
2015,Total Anual,130659.55
2015,T1,125445.1
2015,T2,129322.9
2015,T3,128662.5
2015,T4,139207.7
2016,Total Anual,128318.03
2016,T1,127154.9
2016,T2,129764.4
2016,T3,128785.3
2016,T4,127567.5
2017,Total Anual,132741.95
2017,T1,133055.1
2017,T2,127474.1
2017,T3,135055.3
2017,T4,135383.3
2018,Total Anual,131037.08
2018,T1,126582.4
2018,T2,130912.5
2018,T3,137458.4
2018,T4,129195
2019,Total Anual,130303.75
2019,T1,134563.2
2019,T2,124937.8
2019,T3,130642.8
2019,T4,131071.2
2020,Total Anual,137384.38
2020,T1,132419.4
2020,T2,138390.7
2020,T3,133322.2
2020,T4,145405.2
2021,Total Anual,144083.18
2021,T1,141134.2
2021,T2,141551.5
2021,T3,145875.6
2021,T4,147771.4
2022,Total Anual,153109.35
2022,T1,152214.9
2022,T2,146884.9
2022,T3,157079.2
2022,T4,156258.4
2023,Total Anual,148396.05
2023,T1,145766.4
2023,T2,144227.1
2023,T3,147216.9
2023,T4,156373.8
2024,Total Anual,169288.9
2024,T1,161247.3
2024,T2,172111.8
2024,T3,169664
2024,T4,174132.5
2025,Total Anual,196917.38
2025,T1,190349.9
2025,T2,190883.5
2025,T3,204081.3
2025,T4,202354.8
